unique_id,ds,y
SKU_01,2021-07-09,97.0
SKU_01,2021-07-10,24.0
SKU_01,2021-07-11,16.0
SKU_01,2021-07-12,188.0
SKU_01,2021-07-13,162.0
SKU_01,2021-07-14,94.0
SKU_01,2021-07-15,159.0
SKU_01,2021-07-16,229.0
SKU_01,2021-07-17,28.0
SKU_01,2021-07-18,26.0
SKU_01,2021-07-19,219.0
SKU_01,2021-07-20,145.0
SKU_01,2021-07-21,130.0
SKU_01,2021-07-22,204.0
SKU_01,2021-07-23,199.0
SKU_01,2021-07-24,14.0
SKU_01,2021-07-25,16.0
SKU_01,2021-07-26,307.0
SKU_01,2021-07-27,280.0
SKU_01,2021-07-28,214.0
SKU_01,2021-07-29,187.0
SKU_01,2021-07-30,240.0
SKU_01,2021-07-31,60.0
SKU_01,2021-08-01,57.0
SKU_01,2021-08-02,167.0
SKU_01,2021-08-03,230.0
SKU_01,2021-08-04,300.0
SKU_01,2021-08-05,288.0
SKU_01,2021-08-06,241.0
SKU_01,2021-08-07,18.0
SKU_01,2021-08-08,36.0
SKU_01,2021-08-09,367.0
SKU_01,2021-08-10,213.0
SKU_01,2021-08-11,242.0
SKU_01,2021-08-12,211.0
SKU_01,2021-08-13,209.0
SKU_01,2021-08-14,18.0
SKU_01,2021-08-15,52.0
SKU_01,2021-08-16,237.0
SKU_01,2021-08-17,183.0
SKU_01,2021-08-18,229.0
SKU_01,2021-08-19,198.0
SKU_01,2021-08-20,155.0
SKU_01,2021-08-21,33.0
SKU_01,2021-08-22,20.0
SKU_01,2021-08-23,291.0
SKU_01,2021-08-24,293.0
SKU_01,2021-08-25,388.0
SKU_01,2021-08-26,368.0
SKU_01,2021-08-27,340.0
SKU_01,2021-08-28,56.0
SKU_01,2021-08-29,41.0
SKU_01,2021-08-30,315.0
SKU_01,2021-08-31,229.0
SKU_01,2021-09-01,159.0
SKU_01,2021-09-02,280.0
SKU_01,2021-09-03,199.0
SKU_01,2021-09-04,8.0
SKU_01,2021-09-05,8.0
SKU_01,2021-09-06,136.0
SKU_01,2021-09-07,10.0
SKU_01,2021-09-08,177.0
SKU_01,2021-09-09,183.0
SKU_01,2021-09-10,236.0
SKU_01,2021-09-11,0.0
SKU_01,2021-09-12,0.0
SKU_01,2021-09-13,21.0
SKU_01,2021-09-14,39.0
SKU_01,2021-09-15,3.0
SKU_01,2021-09-16,40.0
SKU_01,2021-09-17,21.0
SKU_01,2021-09-18,20.0
SKU_01,2021-09-19,10.0
SKU_01,2021-09-20,194.0
SKU_01,2021-09-21,166.0
SKU_01,2021-09-22,155.0
SKU_01,2021-09-23,132.0
SKU_01,2021-09-24,386.0
SKU_01,2021-09-25,41.0
SKU_01,2021-09-26,9.0
SKU_01,2021-09-27,184.0
SKU_01,2021-09-28,227.0
SKU_01,2021-09-29,208.0
SKU_01,2021-09-30,236.0
SKU_01,2021-10-01,153.0
SKU_01,2021-10-02,20.0
SKU_01,2021-10-03,23.0
SKU_01,2021-10-04,195.0
SKU_01,2021-10-05,349.0
SKU_01,2021-10-06,198.0
SKU_01,2021-10-07,93.0
SKU_01,2021-10-08,22.0
SKU_01,2021-10-09,0.0
SKU_01,2021-10-10,0.0
SKU_01,2021-10-11,2.0
SKU_01,2021-10-12,0.0
SKU_01,2021-10-13,148.0
SKU_01,2021-10-14,155.0
SKU_01,2021-10-15,137.0
SKU_01,2021-10-16,37.0
SKU_01,2021-10-17,11.0
SKU_01,2021-10-18,101.0
SKU_01,2021-10-19,145.0
SKU_01,2021-10-20,134.0
SKU_01,2021-10-21,149.0
SKU_01,2021-10-22,146.0
SKU_01,2021-10-23,31.0
SKU_01,2021-10-24,53.0
SKU_01,2021-10-25,195.0
SKU_01,2021-10-26,215.0
SKU_01,2021-10-27,236.0
SKU_01,2021-10-28,330.0
SKU_01,2021-10-29,291.0
SKU_01,2021-10-30,2.0
SKU_01,2021-10-31,43.0
SKU_01,2021-11-01,163.0
SKU_01,2021-11-02,32.0
